2409,hitting a wall and tumbling to my death,iPhone
3663,colliding with some enormous obstacle,iPhone
4776,hitting a wall and tumbling to my death,iPhone
8500,hitting a wall and tumbling to my death,iPhone
4241,hitting a wall and tumbling to my death,iPad
2702,hitting a wall and tumbling to my death,iPhone
4616,knocking a building down,iPad
5587,falling to my death,iPhone
1193,knocking a building down,iPhone
457,turning into a fine mist,iPhone
4680,hitting a wall and tumbling to my death,iPod touch
6976,missing another window,iPod touch
978,hitting a wall and tumbling to my death,iPhone
8177,hitting a wall and tumbling to my death,iPhone
3304,hitting a wall and tumbling to my death,iPhone
8512,hitting a wall and tumbling to my death,iPhone
2224,hitting a wall and tumbling to my death,iPhone
14088,turning into a fine mist,iPad
2867,missing another window,iPhone
6656,missing another window,iPad
4182,hitting a wall and tumbling to my death,iPhone
7905,hitting a wall and tumbling to my death,iPhone
5644,hitting a wall and tumbling to my death,iPhone
5550,turning into a fine mist,iPhone
1409,somehow hitting the edge of a billboard,iPhone
5121,turning into a fine mist,iPod touch
9664,hitting a wall and tumbling to my death,iPad
923,colliding with some enormous obstacle,iPhone
2689,hitting a wall and tumbling to my death,iPhone
2193,hitting a wall and tumbling to my death,iPhone
7558,hitting a wall and tumbling to my death,iPhone
1724,hitting a wall and tumbling to my death,iPhone
1441,missing another window,iPod touch
4080,hitting a wall and tumbling to my death,iPhone
4977,turning into a fine mist,iPhone
3236,missing another window,iPad
4708,missing another window,iPhone
4987,missing another window,iPhone
9230,hitting a wall and tumbling to my death,iPad
5193,hitting a wall and tumbling to my death,iPhone
4785,somehow hitting the edge of a crane,iPhone
2344,hitting a wall and tumbling to my death,iPhone
1084,hitting a wall and tumbling to my death,iPhone
11275,hitting a wall and tumbling to my death,iPhone
4428,hitting a wall and tumbling to my death,iPad
480,hitting a wall and tumbling to my death,iPod touch
1574,hitting a wall and tumbling to my death,iPod touch
3190,hitting a wall and tumbling to my death,iPhone
2441,missing another window,iPhone
1577,hitting a wall and tumbling to my death,iPhone
2038,hitting a wall and tumbling to my death,iPhone
3385,hitting a wall and tumbling to my death,iPhone
4334,hitting a wall and tumbling to my death,iPhone
4596,hitting a wall and tumbling to my death,iPhone
2024,colliding with some enormous obstacle,iPod touch
1222,hitting a wall and tumbling to my death,iPhone
1452,hitting a wall and tumbling to my death,iPhone
1577,hitting a wall and tumbling to my death,iPhone
14161,missing another window,iPad
4310,hitting a wall and tumbling to my death,iPhone
2090,hitting a wall and tumbling to my death,Xoom http://www
2176,hitting a wall and tumbling to my death,iPhone
6441,missing another window,iPad
5742,hitting a wall and tumbling to my death,iPad
2705,hitting a wall and tumbling to my death,iPhone
2256,hitting a wall and tumbling to my death,Xoom
7387,hitting a wall and tumbling to my death,iPod touch
20761,missing another window,iPad
2696,hitting a wall and tumbling to my death,iPhone
4100,missing another window,iPad
2651,hitting a wall and tumbling to my death,iPhone
3339,hitting a wall and tumbling to my death,iPhone
336,hitting a wall and tumbling to my death,iPhone
2381,colliding with some enormous obstacle,iPhone
5580,hitting a wall and tumbling to my death,iPhone
6897,hitting a wall and tumbling to my death,iPhone
14483,missing another window,iPhone
1849,hitting a wall and tumbling to my death,iPhone
1252,turning into a fine mist,iPod touch
1801,hitting a wall and tumbling to my death,iPod touch
3489,hitting a wall and tumbling to my death,iPod touch
3308,missing another window,iPod touch
4657,hitting a wall and tumbling to my death,iPod touch
2673,landing where a building used to be,iPod touch
1468,turning into a fine mist,iPad
739,hitting a wall and tumbling to my death,iPod touch
2038,hitting a wall and tumbling to my death,iPhone
4002,falling to my death,iPhone
726,hitting a wall and tumbling to my death,iPhone
1841,hitting a wall and tumbling to my death,iPhone
2504,hitting a wall and tumbling to my death,iPhone
7916,hitting a wall and tumbling to my death,iPad
4948,hitting a wall and tumbling to my death,iPhone
3263,missing a crane completely,iPad
40630,missing another window,iPad
1158,turning into a fine mist,iPad
1174,missing another window,iPhone
7089,hitting a wall and tumbling to my death,iPhone
9774,hitting a wall and tumbling to my death,iPhone
11208,hitting a wall and tumbling to my death,iPhone
1297,landing where a building used to be,iPhone
2105,hitting a wall and tumbling to my death,iPad
18004,missing another window,iPhone
4313,hitting a wall and tumbling to my death,iPod touch
4086,missing another window,iPad
2474,turning into a fine mist,iPhone
2980,not quite reaching a billboard,iPhone
2308,hitting a wall and tumbling to my death,iPhone
5667,missing another window,iPhone
13680,missing another window,iPhone
2776,hitting a wall and tumbling to my death,iPhone
6156,hitting a wall and tumbling to my death,iPod touch
3001,hitting a wall and tumbling to my death,iPhone
6002,falling to my death,iPhone
3180,turning into a fine mist,iPhone
1645,turning into a fine mist,iPhone
8227,missing another window,iPhone
1689,hitting a wall and tumbling to my death,iPod touch
3097,hitting a wall and tumbling to my death,iPad
2195,missing a crane completely,iPhone
1927,turning into a fine mist,iPhone
2398,hitting a wall and tumbling to my death,iPod touch
2283,not quite reaching a billboard,iPhone
1500,hitting a wall and tumbling to my death,iPhone
1990,hitting a wall and tumbling to my death,iPhone
7137,missing another window,iPhone
2385,missing another window,iPhone
1352,hitting a wall and tumbling to my death,iPhone
3588,turning into a fine mist,iPhone
7905,hitting a wall and tumbling to my death,iPhone
4035,hitting a wall and tumbling to my death,iPhone
5070,hitting a wall and tumbling to my death,iPhone
5318,hitting a wall and tumbling to my death,iPod touch
5857,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPod touch
5278,hitting a wall and tumbling to my death,iPhone
1032,hitting a wall and tumbling to my death,iPad
4096,missing another window,iPhone
2012,turning into a fine mist,iPad
3147,hitting a wall and tumbling to my death,iPod touch
4155,hitting a wall and tumbling to my death,iPod touch
8303,turning into a fine mist,iPhone
12166,hitting a wall and tumbling to my death,iPod touch
4444,hitting a wall and tumbling to my death,iPhone
5408,missing another window,iPad
2745,hitting a wall and tumbling to my death,iPhone
2809,knocking a building down,iPhone
3684,hitting a wall and tumbling to my death,iPhone
5696,hitting a wall and tumbling to my death,iPad
177,hitting a wall and tumbling to my death,iPad
6228,hitting a wall and tumbling to my death,iPhone
3968,hitting a wall and tumbling to my death,iPhone
1712,hitting a wall and tumbling to my death,iPad
7268,hitting a wall and tumbling to my death,iPhone
7268,hitting a wall and tumbling to my death,iPhone
4297,hitting a wall and tumbling to my death,iPhone
4257,hitting a wall and tumbling to my death,iPod touch
4187,hitting a wall and tumbling to my death,iPad
14220,missing another window,iPhone
5764,hitting a wall and tumbling to my death,iPad
2688,hitting a wall and tumbling to my death,iPad
15262,colliding with some enormous obstacle,iPhone
5203,hitting a wall and tumbling to my death,iPod touch
2297,missing another window,iPod touch
532,hitting a wall and tumbling to my death,iPhone
1206,hitting a wall and tumbling to my death,iPhone
8548,falling to my death,iPhone
12571,missing another window,iPad
607,colliding with some enormous obstacle,iPhone
7601,landing where a building used to be,iPod touch
899,missing a crane completely,iPod touch
5078,hitting a wall and tumbling to my death,iPhone
1193,falling to my death,iPhone
5198,hitting a wall and tumbling to my death,iPad
2923,hitting a wall and tumbling to my death,iPhone
9124,hitting a wall and tumbling to my death,iPhone
4238,hitting a wall and tumbling to my death,iPhone
2904,hitting a wall and tumbling to my death,iPhone
5254,knocking a building down,iPhone
2252,colliding with some enormous obstacle,iPhone
4036,hitting a wall and tumbling to my death,iPhone
4340,turning into a fine mist,iPhone
3211,hitting a wall and tumbling to my death,iPhone
5190,hitting a wall and tumbling to my death,iPhone
15507,missing another window,iPhone
4500,missing another window,iPhone
886,hitting a wall and tumbling to my death,iPhone
2091,missing another window,iPad
5080,missing another window,iPhone
6236,hitting a wall and tumbling to my death,iPod touch
1546,not quite reaching a billboard,iPad
2492,hitting a wall and tumbling to my death,iPad
10024,missing another window,iPhone
8334,missing another window,iPhone
1180,hitting a wall and tumbling to my death,iPhone
1566,missing another window,iPhone
1662,missing another window,iPhone
1486,hitting a wall and tumbling to my death,iPhone
2569,not quite reaching a billboard,iPhone
1924,turning into a fine mist,iPad
10163,falling to my death,iPod touch
1439,colliding with some enormous obstacle,iPhone
2623,missing a crane completely,iPod touch
6318,missing another window,iPhone
366,hitting a wall and tumbling to my death,iPod touch
1379,missing another window,iPod touch
6320,hitting a wall and tumbling to my death,iPod touch
16933,colliding with some enormous obstacle,iPod touch
9195,hitting a wall and tumbling to my death,iPhone
5880,hitting a wall and tumbling to my death,iPhone
4558,hitting a wall and tumbling to my death,iPhone
8662,hitting a wall and tumbling to my death,iPhone
13814,hitting a wall and tumbling to my death,iPhone
3052,falling to my death,iPhone
17196,hitting a wall and tumbling to my death,iPhone
1408,missing another window,iPod touch
7660,missing another window,iPhone
7020,missing another window,iPhone
4334,hitting a wall and tumbling to my death,iPhone
9772,hitting a wall and tumbling to my death,iPhone
6385,hitting a wall and tumbling to my death,iPhone
1389,falling to my death,iPhone
6422,missing another window,iPhone
580,turning into a fine mist,iPhone
4152,hitting a wall and tumbling to my death,iPad
1621,not quite reaching a billboard,iPhone
487,turning into a fine mist,iPhone
1100,hitting a wall and tumbling to my death,iPhone
2155,hitting a wall and tumbling to my death,iPhone
4059,hitting a wall and tumbling to my death,iPhone
2316,hitting a wall and tumbling to my death,iPhone
3555,somehow hitting the edge of a billboard,iPhone
182,hitting a wall and tumbling to my death,iPhone
1558,somehow hitting the edge of a billboard,iPhone
1918,hitting a wall and tumbling to my death,iPhone
4606,hitting a wall and tumbling to my death,iPhone
7062,hitting a wall and tumbling to my death,iPhone
5548,hitting a wall and tumbling to my death,iPhone
8540,missing another window,iPhone
6889,missing another window,iPad
5036,hitting a wall and tumbling to my death,iPhone
11214,missing another window,iPhone
3649,missing another window,iPhone
7797,turning into a fine mist,iPod touch
2436,missing another window,iPhone
7828,missing another window,iPhone
2142,hitting a wall and tumbling to my death,iPhone
3188,hitting a wall and tumbling to my death,iPhone
5608,hitting a wall and tumbling to my death,iPhone
4454,knocking a building down,iPad
2003,missing another window,iPad
3264,hitting a wall and tumbling to my death,iPad
2572,hitting a wall and tumbling to my death,iPod touch
3121,turning into a fine mist,iPhone
3204,hitting a wall and tumbling to my death,iPhone
2564,riding a falling building all the way down,iPhone
5651,hitting a wall and tumbling to my death,iPhone
4713,hitting a wall and tumbling to my death,iPhone
2708,hitting a wall and tumbling to my death,iPad
7896,missing another window,iPad
9297,knocking a building down,iPhone
4347,hitting a wall and tumbling to my death,iPhone
3209,riding a falling building all the way down,iPhone
126,hitting a wall and tumbling to my death,iPhone
1124,turning into a fine mist,iPhone
5932,hitting a wall and tumbling to my death,iPod touch
3553,missing another window,iPad
1182,hitting a wall and tumbling to my death,iPhone
3523,missing another window,iPhone
4112,missing another window,iPhone
11100,hitting a wall and tumbling to my death,iPad
4148,missing another window,iPod touch
2822,missing another window,iPhone
3902,hitting a wall and tumbling to my death,iPhone
1604,missing another window,iPod touch
1568,hitting a wall and tumbling to my death,iPhone
1595,hitting a wall and tumbling to my death,iPod touch
1217,hitting a wall and tumbling to my death,iPhone
1638,hitting a wall and tumbling to my death,iPhone
755,missing another window,iPhone
420,falling to my death,iPhone
785,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPhone
3302,hitting a wall and tumbling to my death,iPhone
1347,hitting a wall and tumbling to my death,iPhone
355,hitting a wall and tumbling to my death,iPhone
1438,falling to my death,iPhone
889,hitting a wall and tumbling to my death,iPhone
905,hitting a wall and tumbling to my death,iPhone
238,hitting a wall and tumbling to my death,iPhone
1402,falling to my death,iPhone
856,hitting a wall and tumbling to my death,iPhone
1300,missing a crane completely,iPhone
9396,hitting a wall and tumbling to my death,iPhone
1728,hitting a wall and tumbling to my death,iPod touch
702,hitting a wall and tumbling to my death,iPhone
940,hitting a wall and tumbling to my death,iPhone
525,falling to my death,iPhone
947,hitting a wall and tumbling to my death,iPhone
651,somehow hitting the edge of a billboard,iPhone
1096,turning into a fine mist,iPhone
2293,missing a crane completely,iPhone
2118,hitting a wall and tumbling to my death,iPhone
1232,missing another window,iPod touch
975,turning into a fine mist,iPhone
2137,turning into a fine mist,iPhone
548,missing a crane completely,iPhone
3873,hitting a wall and tumbling to my death,iPhone
6594,not quite reaching a billboard,iPhone
104,just barely stumbling out of the first hallway,iPad
1684,hitting a wall and tumbling to my death,iPhone
6390,missing another window,iPhone
1979,riding a falling building all the way down,iPod touch
1728,hitting a wall and tumbling to my death,iPhone
14000,hitting a wall and tumbling to my death,iPhone
528,hitting a wall and tumbling to my death,iPod touch
1105,missing another window,iPod touch
1232,missing another window,iPhone
8230,hitting a wall and tumbling to my death,iPhone
2020,hitting a wall and tumbling to my death,iPhone
12702,missing another window,iPhone
104,just barely stumbling out of the first hallway,iPad
4628,hitting a wall and tumbling to my death,iPhone
2316,hitting a wall and tumbling to my death,iPhone
1968,hitting a wall and tumbling to my death,iPhone
2393,hitting a wall and tumbling to my death,iPhone
13326,somehow hitting the edge of a billboard,iPhone
4656,hitting a wall and tumbling to my death,iPhone
4765,falling to my death,iPhone
5110,hitting a wall and tumbling to my death,iPhone
4241,hitting a wall and tumbling to my death,iPad
1617,hitting a wall and tumbling to my death,iPhone
532,hitting a wall and tumbling to my death,iPhone
14084,hitting a wall and tumbling to my death,iPad
557,turning into a fine mist,iPhone
2984,missing another window,iPhone
1886,hitting a wall and tumbling to my death,iPhone
2577,hitting a wall and tumbling to my death,iPod touch
1745,hitting a wall and tumbling to my death,iPad
2585,somehow hitting the edge of a crane,iPad
15198,missing another window,iPhone
4350,hitting a wall and tumbling to my death,iPhone
1755,hitting a wall and tumbling to my death,iPhone
10700,missing another window,iPad
7171,hitting a wall and tumbling to my death,iPhone
3096,missing a crane completely,iPhone
1278,missing another window,iPhone
6822,hitting a wall and tumbling to my death,iPhone
4112,hitting a wall and tumbling to my death,iPhone
5297,colliding with some enormous obstacle,iPhone
11440,hitting a wall and tumbling to my death,iPhone
5553,hitting a wall and tumbling to my death,iPhone
10149,colliding with some enormous obstacle,iPhone
1785,hitting a wall and tumbling to my death,iPhone
104,just barely stumbling out of the first hallway,iPhone
854,hitting a wall and tumbling to my death,iPhone
2350,hitting a wall and tumbling to my death,iPhone
2300,hitting a wall and tumbling to my death,iPhone
862,falling to my death,iPhone
1843,hitting a wall and tumbling to my death,iPhone
1440,missing another window,iPhone
2289,hitting a wall and tumbling to my death,iPhone
2995,hitting a wall and tumbling to my death,iPhone
4617,hitting a wall and tumbling to my death,iPhone
1148,missing another window,iPhone
4667,hitting a wall and tumbling to my death,iPod touch
2308,missing a crane completely,iPad
10585,hitting a wall and tumbling to my death,iPod touch
4904,missing another window,iPhone
1787,hitting a wall and tumbling to my death,iPhone
537,knocking a building down,iPhone
563,hitting a wall and tumbling to my death,iPhone
236,hitting a wall and tumbling to my death,iPhone
2913,hitting a wall and tumbling to my death,iPhone
1092,missing another window,iPhone
2547,missing another window,iPhone
601,hitting a wall and tumbling to my death,iPhone
2663,turning into a fine mist,iPhone
1649,missing another window,iPhone
921,hitting a wall and tumbling to my death,iPhone
659,colliding with some enormous obstacle,iPhone
2158,hitting a wall and tumbling to my death,iPhone
7214,missing another window,iPod touch
2564,hitting a wall and tumbling to my death,iPhone
1558,hitting a wall and tumbling to my death,iPhone
3179,missing another window,iPhone
11390,missing another window,iPhone
3526,hitting a wall and tumbling to my death,iPhone
2524,hitting a wall and tumbling to my death,iPhone
2020,hitting a wall and tumbling to my death,iPad
3289,hitting a wall and tumbling to my death,iPad
7940,hitting a wall and tumbling to my death,iPad
2384,hitting a wall and tumbling to my death,iPod touch
2131,hitting a wall and tumbling to my death,iPod touch
2616,hitting a wall and tumbling to my death,iPod touch
7776,missing another window,iPhone
1924,falling to my death,iPhone
2473,hitting a wall and tumbling to my death,iPhone
8179,hitting a wall and tumbling to my death,iPhone
5694,hitting a wall and tumbling to my death,iPhone
11769,missing another window,iPhone
3770,not quite reaching a billboard,iPod touch
3916,missing another window,iPhone
1446,turning into a fine mist,iPhone
5225,hitting a wall and tumbling to my death,iPhone
9264,missing another window,iPhone
2380,hitting a wall and tumbling to my death,iPhone
1931,hitting a wall and tumbling to my death,iPhone
5036,hitting a wall and tumbling to my death,iPhone
7020,hitting a wall and tumbling to my death,iPhone
2262,missing another window,iPhone
1790,hitting a wall and tumbling to my death,iPad
3140,hitting a wall and tumbling to my death,iPhone
6435,hitting a wall and tumbling to my death,iPhone
1524,colliding with some enormous obstacle,iPod touch
302,hitting a wall and tumbling to my death,iPod touch
2403,missing another window,iPhone
5168,knocking a building down,iPhone
3666,landing where a building used to be,iPhone
7025,missing another window,iPad
3259,hitting a wall and tumbling to my death,iPhone
2051,hitting a wall and tumbling to my death,iPhone
1944,hitting a wall and tumbling to my death,iPhone
1273,hitting a wall and tumbling to my death,iPhone
4665,missing another window,iPhone
3193,hitting a wall and tumbling to my death,iPod touch
5032,missing another window,iPad
2054,hitting a wall and tumbling to my death,iPhone
2129,missing another window,iPhone
3947,missing another window,iPhone
3163,missing another window,iPhone
10499,hitting a wall and tumbling to my death,iPod touch
6744,hitting a wall and tumbling to my death,iPod touch
2272,missing another window,iPod touch
5425,hitting a wall and tumbling to my death,iPad
8265,missing another window,iPhone
3316,hitting a wall and tumbling to my death,iPhone
8203,hitting a wall and tumbling to my death,iPod touch
5340,knocking a building down,iPhone
3238,missing another window,iPhone
10801,missing another window,iPhone
7673,hitting a wall and tumbling to my death,iPhone
11658,colliding with some enormous obstacle,iPad
3004,hitting a wall and tumbling to my death,iPhone
3422,turning into a fine mist,iPad
1156,turning into a fine mist,iPod touch
2560,missing another window,iPhone
2286,hitting a wall and tumbling to my death,iPod touch
2736,hitting a wall and tumbling to my death,iPod touch
3748,missing another window,iPod touch
7531,missing another window,iPod touch
14345,missing another window,iPhone
4113,hitting a wall and tumbling to my death,iPhone
21769,missing another window,iPhone
3035,missing another window,iPod touch
2615,turning into a fine mist,iPod touch
5020,hitting a wall and tumbling to my death,iPhone
2585,not quite reaching a billboard,iPod touch
5308,hitting a wall and tumbling to my death,iPhone
8859,missing another window,iPad
1916,hitting a wall and tumbling to my death,iPod touch
1307,missing another window,iPod touch
8656,hitting a wall and tumbling to my death,iPhone
3545,hitting a wall and tumbling to my death,iPod touch
9137,missing another window,iPhone
5937,hitting a wall and tumbling to my death,iPod touch
3560,hitting a wall and tumbling to my death,iPhone
5883,hitting a wall and tumbling to my death,iPhone
32539,hitting a wall and tumbling to my death,iPhone
1916,hitting a wall and tumbling to my death,iPhone
6732,hitting a wall and tumbling to my death,iPhone
2407,turning into a fine mist,iPhone
3811,hitting a wall and tumbling to my death,iPhone
15388,missing another window,iPod touch
2108,missing another window,iPhone
3406,hitting a wall and tumbling to my death,iPhone
6476,hitting a wall and tumbling to my death,iPhone
3203,somehow hitting the edge of a billboard,iPod touch
11766,missing another window,iPhone
616,hitting a wall and tumbling to my death,iPod touch
1323,hitting a wall and tumbling to my death,iPod touch
3049,missing another window,iPad
4481,missing another window,iPod touch
1255,missing a crane completely,iPhone
3523,hitting a wall and tumbling to my death,iPhone
3249,hitting a wall and tumbling to my death,iPhone
2627,missing another window,iPad
642,colliding with some enormous obstacle,iPhone
3950,missing another window,iPhone
2806,hitting a wall and tumbling to my death,iPod touch
3740,hitting a wall and tumbling to my death,iPhone
1496,hitting a wall and tumbling to my death,iPad
4043,hitting a wall and tumbling to my death,iPad
1761,hitting a wall and tumbling to my death,iPhone
4113,hitting a wall and tumbling to my death,iPhone
2088,hitting a wall and tumbling to my death,iPod touch
2025,missing a crane completely,iPhone
2630,missing another window,iPhone
10349,falling to my death,iPad
7974,missing another window,iPhone
5518,hitting a wall and tumbling to my death,iPad
992,missing another window,iPod touch
1984,hitting a wall and tumbling to my death,iPhone
5054,hitting a wall and tumbling to my death,iPad
512,hitting a wall and tumbling to my death,iPad
921,missing another window,iPad
2387,hitting a wall and tumbling to my death,iPhone
5025,hitting a wall and tumbling to my death,iPhone
4172,hitting a wall and tumbling to my death,iPhone
16816,missing another window,iPhone
8079,turning into a fine mist,iPad
1842,turning into a fine mist,iPod touch
2809,hitting a wall and tumbling to my death,iPod touch
733,turning into a fine mist,iPhone
1048,hitting a wall and tumbling to my death,iPod touch
4611,missing another window,iPad
5508,missing another window,iPod touch
104,just barely stumbling out of the first hallway,iPod touch
5041,missing another window,iPhone
2089,hitting a wall and tumbling to my death,iPhone
5449,hitting a wall and tumbling to my death,iPhone
792,hitting a wall and tumbling to my death,iPhone
500,knocking a building down,iPhone
5545,hitting a wall and tumbling to my death,iPhone
2876,missing another window,iPhone
8787,hitting a wall and tumbling to my death,iPhone
4598,hitting a wall and tumbling to my death,iPod touch
2225,hitting a wall and tumbling to my death,iPad
1405,colliding with some enormous obstacle,iPad
4462,hitting a wall and tumbling to my death,iPad
6124,hitting a wall and tumbling to my death,iPhone
1302,hitting a wall and tumbling to my death,iPod touch
2388,knocking a building down,iPod touch
2249,hitting a wall and tumbling to my death,iPhone
6434,hitting a wall and tumbling to my death,iPhone
1832,hitting a wall and tumbling to my death,iPad
382,knocking a building down,iPad
13644,hitting a wall and tumbling to my death,iPad
3440,hitting a wall and tumbling to my death,iPod touch
11874,hitting a wall and tumbling to my death,iPhone
4083,falling to my death,iPod touch
1619,missing another window,iPhone
3972,missing another window,iPod touch
3684,missing a crane completely,iPhone
8560,hitting a wall and tumbling to my death,iPhone
4459,hitting a wall and tumbling to my death,iPhone
4486,missing another window,iPhone
8923,missing another window,iPhone
8242,colliding with some enormous obstacle,iPhone
3146,missing a crane completely,iPhone
11024,somehow hitting the edge of a billboard,iPhone
1736,hitting a wall and tumbling to my death,iPhone
2731,hitting a wall and tumbling to my death,iPhone
4758,missing another window,iPhone
3296,hitting a wall and tumbling to my death,iPhone
3090,hitting a wall and tumbling to my death,iPhone
10929,somehow hitting the edge of a billboard,iPod touch
5793,hitting a wall and tumbling to my death,iPhone
4817,missing another window,iPad
6972,missing another window,iPhone
3582,hitting a wall and tumbling to my death,iPhone
5920,missing another window,iPod touch
1478,hitting a wall and tumbling to my death,iPhone
9605,colliding with some enormous obstacle,iPod touch
7760,missing another window,iPhone
468,knocking a building down,iPhone
3444,hitting a wall and tumbling to my death,iPhone
10888,hitting a wall and tumbling to my death,iPod touch
9940,missing another window,iPhone
5166,hitting a wall and tumbling to my death,iPod touch
6075,turning into a fine mist,iPhone
4865,hitting a wall and tumbling to my death,iPhone
5780,hitting a wall and tumbling to my death,iPhone
2449,hitting a wall and tumbling to my death,iPad
2523,hitting a wall and tumbling to my death,iPod touch
10785,hitting a wall and tumbling to my death,iPad
1075,hitting a wall and tumbling to my death,iPhone
11438,hitting a wall and tumbling to my death,iPhone
3112,missing another window,iPhone
1996,missing another window,iPhone
6126,missing another window,iPod touch
12411,hitting a wall and tumbling to my death,iPod touch
3580,missing another window,iPad
1798,hitting a wall and tumbling to my death,iPad
3204,hitting a wall and tumbling to my death,iPad
8107,hitting a wall and tumbling to my death,iPhone
7380,hitting a wall and tumbling to my death,iPod touch
6300,hitting a wall and tumbling to my death,iPod touch
4410,missing a crane completely,iPad
4144,missing another window,iPod touch
2112,hitting a wall and tumbling to my death,iPhone
4577,missing another window,iPhone
1181,turning into a fine mist,iPhone
1412,hitting a wall and tumbling to my death,iPhone
6139,hitting a wall and tumbling to my death,iPhone
2529,hitting a wall and tumbling to my death,iPod touch
7561,hitting a wall and tumbling to my death,iPhone
6784,hitting a wall and tumbling to my death,iPhone
4305,hitting a wall and tumbling to my death,iPhone
2361,missing another window,iPhone
8308,hitting a wall and tumbling to my death,iPhone
9763,hitting a wall and tumbling to my death,iPad
4913,hitting a wall and tumbling to my death,iPod touch
104,just barely stumbling out of the first hallway,iPod touch
2990,missing another window,iPhone
4990,hitting a wall and tumbling to my death,iPhone
